id,title,created_at,updated_at
3,Εστιατόριο ,2013-11-02 14:32:00.56001,2013-11-02 14:32:00.56001
4,Τυροπιτάδικο ,2013-11-02 14:32:24.645055,2013-11-02 14:32:24.645055
5,Ζαχαροπλαστείο ,2013-11-02 14:33:05.891019,2013-11-02 14:33:05.891019
1,Ψητοπωλείο ,2013-11-02 13:08:58.500074,2013-11-02 14:33:45.489785
6,Κρεπερί ,2013-11-02 14:34:31.182036,2013-11-02 14:34:31.182036
2,Πιτσαρία,2013-11-02 14:31:34.297335,2013-11-02 14:38:39.402557
7,Ταβέρνα ,2013-11-02 15:00:48.775378,2013-11-02 15:00:48.775378
8,Catering,2013-11-02 15:10:01.878143,2013-11-02 15:10:01.878143
