id,title,created_at,updated_at
1,Bar,2013-11-02 00:48:15.584271,2013-11-02 14:17:47.580668
2,Cafe ,2013-11-02 14:18:00.365446,2013-11-02 14:18:00.365446
3,Club,2013-11-02 14:19:33.923135,2013-11-02 14:19:33.923135
5,Sport / Γήπεδα ,2013-11-02 14:20:43.243631,2013-11-02 14:20:43.243631
4,Ψυχαγωγία ,2013-11-02 14:19:58.516971,2013-11-02 15:43:43.631432
6,Internet Cafe,2013-11-05 18:34:11.264076,2013-11-05 18:34:11.264076
